"id","name","latitude","longitude","elevation","temperature"
"105220","Stora Spånsberget A","60.3817","15.1374","492.257","0.6"
"132170","Storlien-Storvallen A","63.2826","12.1218","583.124","-9"
"163900","Storön A","65.6972","23.0959","2.394",""
"127310","Sundsvall-Timrå Flygplats","62.5246","17.441","4",""
"93520","Sunne A","59.8639","13.1166","108.947",""
"98490","Svanberga A","59.8317","18.6313","14.821","3.4"
"124030","Sveg A","62.0462","14.4069","357.187",""
"99280","Svenska Högarna A","59.4423","19.5022","11.811","6.4"
"132030","Sylarna A","63.0438","12.2748","1030.11","-1.3"
"113420","Särna A","61.6909","13.1828","426.61","-0.6"
"82260","Såtenäs","58.428","12.711","55.1","2.8"
"99450","Söderarm A","59.7531","19.4054","14.006","6.4"
"178970","Tarfala A","67.9124","18.6101","1143.653",""
"169790","Tjåkaape","66.309","19.21","580.4",""
"74300","Tomtabacken A","57.4981","14.4645","355.895","2.3"
"126290","Torpshammar A","62.4935","16.2742","99.137","-0.1"
"63590","Torup A","56.9494","13.0601","132.532","3.9"
"97100","Tullinge A","59.1785","17.9093","44.858",""
"122260","Tännäs A","62.4494","12.6676","723.013","-3.7"
"72090","Ullared A","57.1134","12.7732","122.356","3.8"
"73470","Ulricehamn","57.8033","13.4009","173.205","3.3"
"140480","Umeå Flygplats","63.7931","20.28","7.31","0"
"24061","Umåker","63.8262","20.1495","0","-0.3"
"97510","Uppsala Aut","59.8471","17.632","23.535","5.4"
"97530","Uppsala Flygplats","59.9","17.593","20.6","5.2"
"55570","Utklippan A","55.9557","15.7048","2.391","7.5"
"72050","Varberg","57.1088","12.2975","26","4.5"
"160970","Vidsel","65.875","20.15","182.566","-5.6"
"146350","Vilhelmina A","64.5798","16.8386","348.198","-4.2"
"71380","Vinga A","57.6322","11.6048","18.205","5.4"
"78400","Visby Flygplats","57.6678","18.3516","41.05","6"
"84050","Visingsö A","58.0948","14.4058","93.582",""
"81350","Väderöarna A","58.576","11.0661","22.356","4.4"
